id,sku,name,slug,brand_id,category_id
187,takamine_ef341sc_w_softcase.htm,Takamine EF341SC w/Softcase,takamine-ef341sc-w-softcase-htm,26,31
188,furch_lj_10_sm_lefthand_spruce.htm,Furch LJ 10-SM Lefthand Spruce,furch-lj-10-sm-lefthand-spruce-htm,44,31
189,harley_benton_delta_blues_oe.htm,Harley Benton Delta Blues OE,harley-benton-delta-blues-oe-htm,18,31
190,harley_benton_d_120lh_bk.htm,Harley Benton D-120LH BK,harley-benton-d-120lh-bk-htm,18,31
191,takamine_gd93ce_nat_2.htm,Takamine GD93CE-NAT,takamine-gd93ce-nat-2-htm,26,31
193,harley_benton_custom_line_cla_15mce.htm,Harley Benton Custom Line CLA-15MCE NS,harley-benton-custom-line-cla-15mce-htm,18,31
194,harley_benton_baritone_clg_414bce_nt.htm,Harley Benton Baritone CLG-414BCE NT,harley-benton-baritone-clg-414bce-nt-htm,18,31
195,furch_blue_gc_m_spe_l_r._baggs.htm,Furch MC Blue Gc-CM SPE a,furch-blue-gc-m-spe-l-r--baggs-htm,44,31
196,harley_benton_clp_12sm_brs_solid_top.htm,Harley Benton CLP-12SM BRS Solid Top,harley-benton-clp-12sm-brs-solid-top-htm,18,31
197,taylor_214ce_483303.htm,Taylor 214ce,taylor-214ce-483303-htm,10,31
198,taylor_gs_mini_e_koa.htm,Taylor GS Mini-e Koa,taylor-gs-mini-e-koa-htm,10,31
199,harley_benton_hbd120cebk_westerngitarre.htm,Harley Benton D-120CE BK,harley-benton-hbd120cebk-westerngitarre-htm,18,31
200,taylor_214ce_k_sb_plus.htm,Taylor 214ce-K SB Plus,taylor-214ce-k-sb-plus-htm,10,31
201,harley_benton_hbo_600tb.htm,Harley Benton HBO-600TB,harley-benton-hbo-600tb-htm,18,31
202,fender_cd60_bk.htm,Fender CD-60 BK V3 DS,fender-cd60-bk-htm,2,31
203,epiphone_pre_war_sj_200_rw_rei_vs_ibc.htm,Epiphone Pre-War SJ-200 RW Rei. VS IBC,epiphone-pre-war-sj-200-rw-rei-vs-ibc-htm,16,31
204,gibson_50s_j_45_vintage_sunburst.htm,Gibson 50s J-45 Original Vintage Sunb,gibson-50s-j-45-vintage-sunburst-htm,3,31
205,epiphone_hummingbird_pro_fcb.htm,Epiphone Hummingbird Studio FCB,epiphone-hummingbird-pro-fcb-htm,16,31
206,martin_guitars_d_10e_02_sitka_sapele.htm,Martin Guitar D-10E-02 Sitka Sapele,martin-guitars-d-10e-02-sitka-sapele-htm,9,31
207,gibson_j_45_special_satin_vint._burst.htm,Gibson J-45 Special Satin Vint. Burst,gibson-j-45-special-satin-vint--burst-htm,3,31
208,harley_benton_hbd110nt.htm,Harley Benton D-120NT,harley-benton-hbd110nt-htm,18,31
209,epiphone_el_00_pro.htm,Epiphone L-00 Studio,epiphone-el-00-pro-htm,16,31
210,takamine_gn71ce_2_nat.htm,Takamine GN71CE-NAT,takamine-gn71ce-2-nat-htm,26,31
211,harley_benton_travelmate.htm,Harley Benton TravelMate,harley-benton-travelmate-htm,18,31
212,furch_lj_10mm_mahogany_little_jane.htm,Furch LJ 10-MM Mahogany Little Jane,furch-lj-10mm-mahogany-little-jane-htm,44,31
213,harley_benton_custom_line_clj_412e_3sb.htm,Harley Benton Custom Line CLJ-412E SB,harley-benton-custom-line-clj-412e-3sb-htm,18,31
214,gibson_l_00_special_vintage_sunburst.htm,Gibson L-00 Special Vintage Sunburst,gibson-l-00-special-vintage-sunburst-htm,3,31
215,takamine_gy51enat.htm,Takamine GY51ENAT,takamine-gy51enat-htm,26,31
216,takamine_gd51ce_bsb_2.htm,Takamine GD51CE-BSB,takamine-gd51ce-bsb-2-htm,26,31
217,harley_benton_cg_45e_natural.htm,Harley Benton CG-45E Natural,harley-benton-cg-45e-natural-htm,18,31
218,takamine_gn11mce_ns_g_serie.htm,Takamine GN11MCE NS G-Series,takamine-gn11mce-ns-g-serie-htm,26,31
219,harley_benton_d_120vs.htm,Harley Benton D-120VS,harley-benton-d-120vs-htm,18,31
220,harley_benton_clo_70asr_nat_allsolid.htm,Harley Benton CLO-70ASR NAT AllSolid,harley-benton-clo-70asr-nat-allsolid-htm,18,31
221,fender_acoustasonic_player_tele_bb.htm,Fender Acoustasonic Player Tele BB,fender-acoustasonic-player-tele-bb-htm,2,31
222,harley_benton_clo_70asr_sbk_allsolid.htm,Harley Benton CLO-70ASR SBK AllSolid,harley-benton-clo-70asr-sbk-allsolid-htm,18,31
223,gibson_sj_200_original_vs.htm,Gibson SJ-200 Original VS,gibson-sj-200-original-vs-htm,3,31
224,epiphone_hummingbird_deluxe_ec_ab_ibc.htm,Epiphone Hummingbird Deluxe EC AB IBC,epiphone-hummingbird-deluxe-ec-ab-ibc-htm,16,31
225,martin_guitar_000c_jr_e_streetmaster.htm,Martin Guitar 000C Jr E StreetMaster New,martin-guitar-000c-jr-e-streetmaster-htm,9,31
226,epiphone_dove_pro.htm,Epiphone Dove Studio,epiphone-dove-pro-htm,16,31
227,takamine_gd11mcens_2.htm,Takamine GD11MCENS,takamine-gd11mcens-2-htm,26,31
228,taylor_gs_mini_e_koa_plus.htm,Taylor GS Mini-e Koa Plus,taylor-gs-mini-e-koa-plus-htm,10,31
229,harley_benton_hbd20012bk_12stringwestern.htm,Harley Benton D-200CE-12BK,harley-benton-hbd20012bk-12stringwestern-htm,18,31
230,harley_benton_clc_650sm_ce_vs_solid_wood.htm,Harley Benton CLC-650SM-CE VS Solid Wood,harley-benton-clc-650sm-ce-vs-solid-wood-htm,18,31
231,martin_guitars_dx_johnny_cash.htm,Martin Guitar DX Johnny Cash,martin-guitars-dx-johnny-cash-htm,9,31
232,martin_guitars_d28.htm,Martin Guitar D28,martin-guitars-d28-htm,9,31
233,taylor_gs_mini_e_special_ed_paisley.htm,Taylor GS Mini-e Special Ed Paisley,taylor-gs-mini-e-special-ed-paisley-htm,10,31
234,harley_benton_delta_blues_mjce.htm,Harley Benton Delta Blues MJCE,harley-benton-delta-blues-mjce-htm,18,31
235,martin_guitar_000_18_retro.htm,Martin Guitar 000E Retro Plus,martin-guitar-000-18-retro-htm,78,31
236,taylor_gold_label_717e.htm,Taylor Gold Label 717e,taylor-gold-label-717e-htm,10,31
237,taylor_jacob_collier_sign._jcsm_5.htm,Taylor Jacob Collier Sign. JCSM-5,taylor-jacob-collier-sign--jcsm-5-htm,10,31
238,harley_benton_hb_custom_line_king_ce_bk.htm,Harley Benton HB Custom Line King-CE BK,harley-benton-hb-custom-line-king-ce-bk-htm,18,31
239,harley_benton_hbd120cebk_lh.htm,Harley Benton D-120CE-LH BK,harley-benton-hbd120cebk-lh-htm,18,31
240,taylor_gs_mini_mahogany.htm,Taylor GS Mini Mahogany,taylor-gs-mini-mahogany-htm,10,31
241,fender_cd_60sce_blk_wn.htm,Fender CD-60SCE Blk WN,fender-cd-60sce-blk-wn-htm,2,31
242,takamine_gn93ce_nat_2.htm,Takamine GN93CE-NAT,takamine-gn93ce-nat-2-htm,26,31
243,harley_benton_hbo600_sb.htm,Harley Benton HBO-600SB,harley-benton-hbo600-sb-htm,18,31
244,harley_benton_clg_650sm_ce_vs_solidwood.htm,Harley Benton CLG-650SM-CE VS SolidWood,harley-benton-clg-650sm-ce-vs-solidwood-htm,18,31
245,harley_benton_hb_custom_line_king_ce_nt.htm,Harley Benton Custom Line King-CE NT,harley-benton-hb-custom-line-king-ce-nt-htm,18,31
246,taylor_314ce_ltd_50th.htm,Taylor 314ce Ltd 50th,taylor-314ce-ltd-50th-htm,10,31
247,taylor_24ce.htm,Taylor 24ce,taylor-24ce-htm,10,31
248,harley_benton_clg_70sr_ce_sbk.htm,Harley Benton CLG-70SR CE SBK,harley-benton-clg-70sr-ce-sbk-htm,18,31
249,harley_benton_hbo600nt.htm,Harley Benton HBO-600NT,harley-benton-hbo600nt-htm,18,31
250,harley_benton_ds_10_mini.htm,Harley Benton DS-10 Mini,harley-benton-ds-10-mini-htm,18,31
251,harley_benton_hbd20012nt_12string_westerngitarre.htm,Harley Benton D-200CE-12NT,harley-benton-hbd20012nt-12string-westerngitarre-htm,18,31
252,fender_cd_140sce_all_mah.htm,Fender CD-140SCE All Mah,fender-cd-140sce-all-mah-htm,2,31
253,harley_benton_sc_custom_iii_purple_burst.htm,Harley Benton SC-Custom III Purple Burst,harley-benton-sc-custom-iii-purple-burst-htm,18,0
254,gibson_j_45_standard_12_string_vsb.htm,Gibson J-45 Standard 12 String VSB,gibson-j-45-standard-12-string-vsb-htm,3,31
